30726160,precision medicine,"The Arf and Rab/Ypt GTPases coordinately regulate membrane traffic and organelle structure by regulating vesicle formation and fusion. Ample evidence has indicated that proteins in these two families may function in parallel or complementarily; however, the manner in which Arf and Rab/Ypt proteins perform interchangeable function remains unclear. In this study, we report that a Golgi-localized Arf, Arl1, could suppress the Ypt6 dysfunction via its effector golgin, Imh1, but not via the lipid flippase Drs2. Ypt6 is critical for the retrograde transport of vesicles from endosomes to the TGN, and its mutation leads to severe protein mislocalization and growth defects. We first overexpress the components of the Arl3-Syt1-Arl1-Imh1 cascade and show that only Arl1 and Imh1 can restore endosome-to-TGN trafficking in ypt6-deleted cells. Interestingly, increased abundance of Arl1 or Imh1 restores localization of the tethering factor Golgi-associated retrograde protein (GARP) complex to the TGN in the absence of Ypt6. We further show that the N-terminal domain of Imh1 is critical for restoring GARP localization and endosome-to-TGN transport in ypt6-deleted cells. Together, our results reveal the mechanism by which Arl1-Imh1 facilitates the recruitment of GARP to the TGN and compensates for the endosome-to-TGN trafficking defects in dysfunctional Ypt6 conditions."
30726120,precision medicine,"Severe asthma affects a small proportion of asthma patients (~ 3-5%) and reflects a failure of conventional asthma medications to provide adequate control. Severe asthma is a disease of significant clinical heterogeneity, likely caused by different pathobiological mechanisms, frequently referred to as endotypes. In the last decade, multiple monoclonal therapies have been developed to target airway type-2 eosinophilic and/or allergic severe asthma. However, the underlying mechanisms of both type 2 immunity and eosinophilia (blood and airway) remain incompletely understood and offer a potential for novel therapies that target eosinophil maturation in the bone marrow and specific kinases expressed in type 2 cells, such as JAK-STAT inhibitors. Furthermore, some patients do not consistently demonstrate a type 2 disease clinical profile and display other inflammatory phenotypes at a given point in time. Targeting airway smooth muscle dysfunction, airway mucous, type-17 immunity and airway dysbiosis, may represent novel therapeutic approaches for severe asthma in the future. Unfortunately, the biomarkers for these subtypes of severe asthma are underdeveloped, rendering it difficult to conduct effective clinical trials. There are also barriers regarding the efficiency of standard clinical trials. Moving beyond these barriers will require innovation in trial design, effective partnerships with patient groups and effective multi-national trials consortia. There are current transatlantic opportunities to conduct clinical trials that could facilitate the development of common trial platforms to maximize overall efficiency and move the field of severe asthma forward."
30726072,precision medicine,"A small molecule (1) with overlapping affinity for two microRNA (miRNA) precursors was used to inform design of a dimeric compound (2) selective for one of the miRNAs. In particular, 2 selectively targets the microRNA(miR)-515 hairpin precursor to inhibit production of miR-515 that represses sphingosine kinase 1 (SK1), a key enzyme in the biosynthesis of sphingosine 1-phosphate (S1P). Application of 2 to breast cancer cells enhanced SK1 and S1P levels, triggering a migratory phenotype. Knockout of SK1, forced overexpression of miR-515, and application of a small molecule SK1 inhibitor all ablated 2's effect on phenotype, consistent with its designed mode of action. Target profiling studies via Chem-CLIP showed that 2 bound selectively to the miR-515 hairpin precursor in cells. Global neoprotein synthesis upon addition of 2 to MCF-7 breast cancer cells demonstrated 2's selectivity and upregulation of cancer-associated proteins regulated by S1P. The most upregulated protein was human epidermal growth factor receptor 2 (ERBB2/HER2), which is regulated by the SK1/S1P pathway and is normally not expressed in MCF-7 cells. Like triple negative breast cancer (TNBC) cells, the lack of HER2 renders them insusceptible to Herceptin and its antibody-drug conjugate Kadcyla. In addition to proteomics, an RNA-seq study supports that 2 has limited off target effects and other studies support that 2 is more selective than an oligonucleotide. We therefore hypothesized that 2 could sensitize MCF-7 cells to anti-HER2 therapies. Indeed, application of 2 sensitized cells to Herceptin. These results were confirmed in two other cell lines that express miR-515 and are HER2-, the hepatocellular carcinoma cell line HepG2 and the TNBC line MDA-MB-231. Importantly, normal breast epithelial cells (MCF-10A) that do not express miR-515 are not affected by 2. These observations suggest a precision medicine approach to sensitize HER2- cancers to approved anticancer medicines. This study has implications for broadening the therapeutic utility of known targeted cancer therapeutics by using a secondary targeted approach to render otherwise insensitive cells, sensitive to a targeted therapeutic."
30725476,precision medicine,"Macitentan is an endothelin receptor antagonist commonly used in the treatment of pulmonary arterial hypertension (PAH). A novel, rapid, simple and sensitive UPLC-MS/MS method was developed and validated for pharmacokinetic study and the determination of macitentan in PAH patients. Macitentan and bosentan which is used as internal standard were detected using APCI in positive ion and MRM mode by monitoring the mass transitions m/z 589.1→203.3 and 552.6→311.5, respectively. Chromatographic separation was performed on reverse phase C18 column (5 μm, 4.6 *150 mm) with a isocratic mobile phase, which consisted of water containing 0.2% acetic acid:acetonitrile (90:10, v/v) at a flow rate of 1 mL/min. Retention times were 1.97 and 1.72 min. for macitentan and IS, respectively. The calibration curve with high correlation coefficient (0.9996) was linear range 1-500 ng/mL. The LLOQ and average recovery values were determined as 1 ng/mL and 89.8%, respectively. This method is the first UPLC-MS/MS method developed and validated for the determination of macitentan from human plasma. The developed analytical method was fully validated for linearity, selectivity, specificity, accuracy, precision, sensitivity, stability, matrix effect and recovery according to FDA guidelines. The developed method applied successfully for pharmacokinetic study and the determination of macitentan in PAH patients."
30725385,precision medicine,"In Chapter 12, figure 1 was published with truncated texts within. This figure has now been replaced with a revised figure with the updated text."
30725265,precision medicine,"Capnography involves the measurement of end-tidal CO<sub>2</sub> (EtCO<sub>2</sub>) values to detect hypoventilation in patients undergoing sedation. In a previous study, we reported that initiating a flexible bronchoscopy (FB) examination only after detecting signs of hypoventilation could reduce the risk of hypoxemia without compromising the tolerance of the patient for this type of intervention. We hypothesize that hypoventilation status could be determined with greater precision by combining thoracic impedance-based respiratory signals, RESP, and EtCO<sub>2</sub> signals obtained from a nasal-oral cannula. Retrospective analysis was conducted on RESP and EtCO<sub>2</sub> waveforms obtained from patients during the induction of sedation using propofol for bronchoscopic examination in a previous study. EtCO<sub>2</sub> waveforms associated with hypoventilation were then compared with RESP patterns, patient variables, and sedation outcomes. Signals suitable for analysis were obtained from 44 subjects, 42 of whom presented indications of hypoventilation, as determined by EtCO<sub>2</sub> waveforms. Two subtypes of hypoventilation were identified by RESP: central-predominant (n = 22, flat line RESP pattern) and non-central-predominant (n = 20, RESP pattern indicative of respiratory effort with upper airway collapse). Compared to cases of non-central-predominant hypoventilation, those presenting central-predominant hypoventilation during induction were associated with a lower propofol dose (40.2 ± 18.3 vs. 60.8 ± 26.1 mg, p = 0.009), a lower effect site concentration of propofol (2.02 ± 0.33 vs. 2.38 ± 0.44 µg/ml, p = 0.01), more rapid induction (146.1 ± 105.5 vs. 260.9 ± 156.2 s, p = 0.01), and lower total propofol dosage (96.6 ± 41.7 vs. 130.6 ± 53.4 mg, p = 0.04). Hypoventilation status (as revealed by EtCO<sub>2</sub> levels) could be further classified by RESP into central-predominant or non-central-predominant types. It appears that patients with central-predominant hypoventilation are more sensitive to propofol during the induction of sedation. RESP values could be used to tailor sedation management specifically to individual patients."
30725173,precision medicine,"Metabolic alterations have implications in a spectrum of tissue functions and disease. Aided by novel molecular biological and computational tools, our understanding of physiological and pathological processes underpinning endocrine and endocrine-related disease has significantly expanded over the last decade. Herein, we focus on novel metabolomics-related methodologies in adrenal research: in situ metabolomics by mass spectrometry imaging, steroid metabolomics by gas and liquid chromatography-mass spectrometry, energy pathway metabologenomics by liquid chromatography-mass spectrometry-based metabolomics of Krebs cycle intermediates, and cellular reprogramming to generate functional steroidogenic cells and hence to modulate the steroid metabolome. All four techniques to assess and/or modulate the metabolome in biological systems provide tremendous opportunities to manage neoplastic and non-neoplastic disease of the adrenal glands in the era of precision medicine. In this context, we discuss emerging clinical applications and/or promising metabolic-driven research towards diagnostic, prognostic, predictive and therapeutic biomarkers in tumours arising from the adrenal gland and extra-adrenal paraganglia as well as modern approaches to delineate and reprogram adrenal metabolism."
30724748,precision medicine,"Wound area measurements provide an objective assessment of wound healing; however, most commonly used measurement techniques are imprecise."
30724742,precision medicine,"Adverse drug reactions (ADRs) are common and are the underlying cause of over a million serious injuries and deaths each year. The most familiar method to detect ADRs is relying on spontaneous reports. Unfortunately, the low reporting rate of spontaneous reports is a serious limitation of pharmacovigilance."
30724465,precision medicine,Flexitarian dieting is increasingly associated with health benefits. The study of postprandial metabolic response to vegan and animal diets is essential to decipher how specific diet components may mediate metabolic changes.
